part_id,month,year,sday_id,dayofweek,day,wave
1454401,4,2020,2020.04.19,0,19,1
1454501,4,2020,2020.04.20,1,20,1
1454601,4,2020,2020.04.17,5,17,1
1454701,4,2020,2020.04.19,0,19,1
1454801,4,2020,2020.04.19,0,19,1
1454901,4,2020,2020.04.18,6,18,1
1455001,4,2020,2020.04.16,4,16,1
1455101,4,2020,2020.04.17,5,17,1
1455201,4,2020,2020.04.17,5,17,1
1455301,4,2020,2020.04.19,0,19,1
1455401,4,2020,2020.04.19,0,19,1
1455501,4,2020,2020.04.16,4,16,1
1455701,4,2020,2020.04.16,4,16,1
1455801,4,2020,2020.04.16,4,16,1
1455901,4,2020,2020.04.19,0,19,1
1456001,4,2020,2020.04.19,0,19,1
1456101,4,2020,2020.04.19,0,19,1
1456301,4,2020,2020.04.20,1,20,1
1456401,4,2020,2020.04.19,0,19,1
1456501,4,2020,2020.04.19,0,19,1
1456601,4,2020,2020.04.20,1,20,1
1456701,4,2020,2020.04.19,0,19,1
1456801,4,2020,2020.04.17,5,17,1
1456901,4,2020,2020.04.19,0,19,1
1457001,4,2020,2020.04.19,0,19,1
1457101,4,2020,2020.04.16,4,16,1
1457201,4,2020,2020.04.19,0,19,1
1457301,4,2020,2020.04.19,0,19,1
1457401,4,2020,2020.04.19,0,19,1
1457501,4,2020,2020.04.16,4,16,1
1457601,4,2020,2020.04.19,0,19,1
1457701,4,2020,2020.04.19,0,19,1
1457801,4,2020,2020.04.19,0,19,1
1457901,4,2020,2020.04.19,0,19,1
1458001,4,2020,2020.04.19,0,19,1
1458101,4,2020,2020.04.19,0,19,1
1458201,4,2020,2020.04.19,0,19,1
1458301,4,2020,2020.04.20,1,20,1
1458401,4,2020,2020.04.19,0,19,1
1458501,4,2020,2020.04.19,0,19,1
1458601,4,2020,2020.04.19,0,19,1
1458701,4,2020,2020.04.16,4,16,1
1458801,4,2020,2020.04.20,1,20,1
1458901,4,2020,2020.04.19,0,19,1
1459001,4,2020,2020.04.19,0,19,1
1459101,4,2020,2020.04.19,0,19,1
1459201,4,2020,2020.04.19,0,19,1
1459301,4,2020,2020.04.19,0,19,1
1459401,4,2020,2020.04.19,0,19,1
1459501,4,2020,2020.04.19,0,19,1
1459601,4,2020,2020.04.16,4,16,1
1459701,4,2020,2020.04.20,1,20,1
1459801,4,2020,2020.04.16,4,16,1
1459901,4,2020,2020.04.19,0,19,1
1460001,4,2020,2020.04.19,0,19,1
1460101,4,2020,2020.04.19,0,19,1
1460201,4,2020,2020.04.16,4,16,1
1460301,4,2020,2020.04.19,0,19,1
1460401,4,2020,2020.04.16,4,16,1
1460501,4,2020,2020.04.16,4,16,1
1460601,4,2020,2020.04.17,5,17,1
1460701,4,2020,2020.04.19,0,19,1
1460901,4,2020,2020.04.16,4,16,1
1461001,4,2020,2020.04.18,6,18,1
1461101,4,2020,2020.04.19,0,19,1
1461201,4,2020,2020.04.20,1,20,1
1461301,4,2020,2020.04.19,0,19,1
1461401,4,2020,2020.04.19,0,19,1
1461501,4,2020,2020.04.19,0,19,1
1461601,4,2020,2020.04.16,4,16,1
1461701,4,2020,2020.04.18,6,18,1
1461801,4,2020,2020.04.16,4,16,1
1461901,4,2020,2020.04.19,0,19,1
1462001,4,2020,2020.04.16,4,16,1
1462101,4,2020,2020.04.19,0,19,1
1462201,4,2020,2020.04.17,5,17,1
1462301,4,2020,2020.04.18,6,18,1
1462401,4,2020,2020.04.19,0,19,1
1462501,4,2020,2020.04.16,4,16,1
1462601,4,2020,2020.04.16,4,16,1
1462701,4,2020,2020.04.19,0,19,1
1462801,4,2020,2020.04.19,0,19,1
1462901,4,2020,2020.04.19,0,19,1
1463001,4,2020,2020.04.16,4,16,1
1463101,4,2020,2020.04.19,0,19,1
1463201,4,2020,2020.04.16,4,16,1
1463301,4,2020,2020.04.19,0,19,1
1463401,4,2020,2020.04.19,0,19,1
1463501,4,2020,2020.04.19,0,19,1
1463601,4,2020,2020.04.16,4,16,1
1463701,4,2020,2020.04.20,1,20,1
1463801,4,2020,2020.04.16,4,16,1
1463901,4,2020,2020.04.19,0,19,1
1464001,4,2020,2020.04.16,4,16,1
1464101,4,2020,2020.04.17,5,17,1
1464201,4,2020,2020.04.18,6,18,1
1464301,4,2020,2020.04.16,4,16,1
1464401,4,2020,2020.04.20,1,20,1
1464501,4,2020,2020.04.19,0,19,1
1464601,4,2020,2020.04.19,0,19,1
1464701,4,2020,2020.04.16,4,16,1
1464801,4,2020,2020.04.19,0,19,1
1464901,4,2020,2020.04.19,0,19,1
1465001,4,2020,2020.04.19,0,19,1
1465101,4,2020,2020.04.16,4,16,1
