cont_id,wave,studyDay
1843_1_2_27,1,2
1843_1_2_28,1,2
1843_1_2_29,1,2
1843_1_2_30,1,2
1843_1_2_31,1,2
1843_1_2_32,1,2
1843_1_2_33,1,2
721_1_1_1,1,1
721_1_1_2,1,1
721_1_1_3,1,1
721_1_1_4,1,1
721_1_1_5,1,1
721_1_1_6,1,1
721_1_1_7,1,1
721_1_1_8,1,1
721_1_1_9,1,1
721_1_1_10,1,1
721_1_1_11,1,1
721_1_1_12,1,1
721_1_1_13,1,1
721_1_1_14,1,1
721_1_1_15,1,1
721_1_1_16,1,1
721_1_2_1,1,2
721_1_2_2,1,2
721_1_2_3,1,2
721_1_2_4,1,2
721_1_2_5,1,2
721_1_2_6,1,2
721_1_2_7,1,2
721_1_2_8,1,2
721_1_2_9,1,2
721_1_2_10,1,2
721_1_2_11,1,2
721_1_2_12,1,2
1275_1_1_1,1,1
1275_1_1_2,1,1
1275_1_1_3,1,1
1275_1_2_1,1,2
1275_1_2_2,1,2
1275_1_2_3,1,2
1275_1_2_4,1,2
1275_1_2_5,1,2
1275_1_2_6,1,2
1275_1_2_7,1,2
1275_1_2_8,1,2
1275_1_2_9,1,2
1275_1_2_10,1,2
1275_1_2_11,1,2
1275_1_2_12,1,2
1275_1_2_13,1,2
1275_1_2_14,1,2
1275_1_2_15,1,2
1275_1_2_16,1,2
10937_2_1_1,2,1
10937_2_1_2,2,1
10937_2_1_3,2,1
