"hh_id","hh_size_group"
"HH2323","(1,2]"
"HH2324","(4,20]"
"HH2325","(1,2]"
"HH2326","(2,3]"
"HH2327","(1,2]"
"HH2328","(1,2]"
"HH2329","(0,1]"
"HH2330","(4,20]"
"HH2331","(3,4]"
"HH2332","(1,2]"
"HH2333","(4,20]"
"HH2334","(2,3]"
"HH2335","(2,3]"
"HH2336","(1,2]"
"HH2337","(2,3]"
"HH2338","(2,3]"
"HH2339","(2,3]"
"HH2340","(3,4]"
"HH2341","(2,3]"
"HH2342","(1,2]"
"HH2343","(1,2]"
"HH2344","(1,2]"
"HH2345","(2,3]"
"HH2346","(3,4]"
"HH2347","(0,1]"
"HH2348","(1,2]"
"HH2349","(4,20]"
"HH2350","(2,3]"
"HH2351","(4,20]"
"HH2352","(1,2]"
"HH2353","(1,2]"
"HH2354","(1,2]"
"HH2355","(0,1]"
"HH2356","(4,20]"
"HH2357","(2,3]"
"HH2358","(1,2]"
"HH2359","(4,20]"
"HH2360","(2,3]"
"HH2361","(2,3]"
"HH2362","(4,20]"
"HH2363","(2,3]"
"HH2364","(3,4]"
"HH2365","(0,1]"
"HH2366","(2,3]"
"HH2367","(4,20]"
"HH2368","(3,4]"
"HH2369","(0,1]"
"HH2370","(0,1]"
"HH2371","(2,3]"
"HH2372","(2,3]"
"HH2373","(1,2]"
"HH2374","(2,3]"
"HH2375","(4,20]"
"HH2376","(1,2]"
"HH2377","(1,2]"
"HH2378","(1,2]"
"HH2379","(1,2]"
"HH2380","(2,3]"
"HH2381","(0,1]"
"HH2382","(1,2]"
"HH2383","(1,2]"
"HH2384","(1,2]"
"HH2385","(1,2]"
"HH2386","(3,4]"
"HH2387","(1,2]"
"HH2388","(1,2]"
"HH2389","(2,3]"
"HH2390","(2,3]"
"HH2391","(2,3]"
"HH2392","(4,20]"
"HH2393","(1,2]"
"HH2394","(4,20]"
"HH2395","(1,2]"
"HH2396","(2,3]"
"HH2397","(2,3]"
"HH2398","(1,2]"
"HH2399","(0,1]"
"HH2400","(1,2]"
"HH2401","(3,4]"
"HH2402","(3,4]"
"HH2403","(1,2]"
"HH2404","(3,4]"
"HH2405","(1,2]"
"HH2406","(3,4]"
"HH2407","(1,2]"
"HH2408","(4,20]"
"HH2409","(2,3]"
"HH2410","(1,2]"
"HH2411","(4,20]"
"HH2412","(4,20]"
"HH2413","(1,2]"
"HH2414","(1,2]"
"HH2415","(2,3]"
"HH2416","(0,1]"
"HH2417","(0,1]"
"HH2418","(1,2]"
"HH2419","(4,20]"
"HH2420","(2,3]"
"HH2421","(1,2]"
"HH2422","(3,4]"
"HH2423","(2,3]"
"HH2424","(3,4]"
"HH2425","(2,3]"
"HH2426","(3,4]"
"HH2427","(3,4]"
"HH2428","(2,3]"
"HH2429","(2,3]"
"HH2430","(2,3]"
"HH2431","(2,3]"
"HH2432","(2,3]"
"HH2433","(2,3]"
"HH2434","(3,4]"
"HH2435","(2,3]"
"HH2436","(0,1]"
"HH2437","(4,20]"
"HH2438","(2,3]"
"HH2439","(3,4]"
